Mandarin	Vietnamese
未遂	non yếu
未遂	sớm thất bại
殰	chết non chết yểu
殰	không phát triển đầy đủ
殰	non yếu
殰	sớm thất bại
贕	chết non chết yểu
贕	không phát triển đầy đủ
贕	non yếu
贕	sớm thất bại
新字体	Tân Tự Thể
日本新字体	Tân Tự Thể
形状	hình dáng
形状	hình thức
形状	hình dạng
形状	hình
形状	hình thể
形式	hình dáng
形式	hình thức
形式	hình dạng
形式	hình
形式	hình thể
泥石流	lở đất
土石流	lở đất
泥流	lở đất
压	ấn
压	ép
按	ấn
按	ép
主席	chủ tịch
总裁	chủ tịch
会长	chủ tịch
养蜂	nuôi ong
养蜂业	nuôi ong
帕多瓦	Padova
年	năm
波多黎各	Puerto Rico
古巴	Cu Ba
哈瓦那	La Habana
太子港	Port-au-Prince
渔业	công nghiệp cá
渔业	nghề cá
渔业	ngư nghiệp
水产业	công nghiệp cá
水产业	nghề cá
水产业	ngư nghiệp
渔夫	ngư dân
渔民	ngư dân
渔人	ngư dân
钓鱼	câu cá
吸器	giác mút
萨科齐	Sarkozy
形容词	tính từ
形容词	hình dung từ
第一夫人	Đệ nhất Phu nhân Hoa Kỳ
失业	thất nghiệp
失业	thất nghiệp
自由	tự do
自由	rỗi
穿	mặc
穿	đội
地球	Trái Đất
竹	trúc
软件	phần mềm
软体	phần mềm
冰岛	Iceland
也门	Yemen
南斯拉夫	Nam Tư
五敛子	khế
铫芅	khế
铫弋	khế
鬼桃	khế
苌楚	khế
羊桃	khế
杨桃	khế
南通	Nam Thông
胡琴	hồ cầm
球体	mặt cầu
工作簿	sổ làm việc
恒等式	đồng nhất thức
个性	tính đồng nhất
身分	tính đồng nhất
身份	tính đồng nhất
海湾	vịnh
凌	lăng
凌	lăng
𨢇	rượu
蠍子	bọ cạp
三角恋	tình tay ba
达沃·苏克	Davor Šuker
繁体	Phồn thể
爪哇文	Chữ Java
古意大利文	Chữ Italic cổ
广场协议	Thỏa ước Plaza
腩	nem
货	hàng hóa
货物	hàng hóa
媳妇	đàn bà có chồng
媳婦	đàn bà có chồng
Golay	Golay
糯米肠	dồi
恋人	người yêu
恋人	cưng
亲爱	người yêu
亲爱	cưng
甜心	người yêu
甜心	cưng
情人	người yêu
情人	cưng
宝贝	người yêu
宝贝	cưng
爱	tình yêu
爱	lãng mạn
恋爱	tình yêu
恋爱	lãng mạn
爱恋	tình yêu
爱恋	lãng mạn
恋	tình yêu
恋	lãng mạn
爱情	tình yêu
爱	tình yêu
恋歌	tình ca
恋歌	tình khúc
情歌	tình ca
情歌	tình khúc
教会	nhà thờ
教堂	nhà thờ
购物中心	trung tâm mua sắm
商场	trung tâm mua sắm
大英百科全书	Encyclopædia Britannica
零之使魔	Zero no Tsukaima
微笑	cười
微笑	cười
海瑞	Hải Thụy
微笑	cười
西格蒙德·弗洛伊德	Sigmund Freud
巴仙	phần trăm
百分之	phần trăm
螽斯科	Họ Muỗm
低音提琴	đại hồ cầm
武文杰	Võ Văn Kiệt
珠	châu
计算机化	điện toán hóa
电脑化	điện toán hóa
德塞莱特文	Chữ Deseret
质子	proton
彼尔姆	Pecmi
吉布提	Djibouti
雪	tuyết
微笑	cười
曼哈顿计划	Dự án Manhattan
列托-罗曼文	Tiếng Rhaeto-Romance
海参崴	Vladivostok
符拉迪沃斯托克	Vladivostok
依伯利亚葡萄牙文	Tiếng Bồ Đào Nha (I-bê-ri)
葡萄牙语(巴西)	Tiếng Bồ Đào Nha (Braxin)
贝娜齐尔·布托	Benazir Bhutto
斯德哥尔摩	Stockholm
许可证	giấy phép
许可证	bằng
福音音乐	Nhạc Phúc âm
盖德·穆勒	Gerd Müller
人口密度	mật độ dân số
国家社会主义	chủ nghĩa Quốc xã
六絃琴 六弦琴	đàn ghi-ta
六絃琴 六弦琴	ghi-ta
六絃琴 六弦琴	lục huyền cầm
吉他	đàn ghi-ta
吉他	ghi-ta
吉他	lục huyền cầm
济宁市	Tế Ninh
火鹤	hồng hạc
火烈鸟	hồng hạc
红鹤	hồng hạc
并排	theo kịp thời đại
并排	đi sóng hàng với nhau
白俄罗斯文	tiếng Bê-la-rút
白俄罗斯语	tiếng Bê-la-rút
iSNS	iSNS
玻利维亚 Mvdol（资金）	Đồng Mvdol Bolivia
古巴时间	Giờ Cuba
埃德蒙·巴顿	Edmund Barton
库克群岛时间	Giờ Quần Đảo Cook
哥伦比亚标准时间	Giờ Chuẩn Colombia
托马斯·杰斐逊	Thomas Jefferson
福田赳夫	Fukuda Takeo
卡彭特乐队	The Carpenters
MB	MB
最大化	cực đại hóa
林登·约翰逊	Lyndon B. Johnson
千年	thiên niên kỷ
土星	Sao Thổ
讨论	thảo luận
讨论组	nhóm thảo luận
判別存取控制清單	danh mục kiểm soát truy cập theo ý muốn
秒	giây
角	góc
列夫·朗道	Lev Davidovich Landau
蚯蚓	Giun đất
钷	prometi
公车	xe buýt
巴士	xe buýt
茶	chà
茶	trà
章丘市	Chương Khâu
天才魔女	That’s So Raven
麒麟	Lân
传来	lại
到	lại
到货	lại
到达	lại
瀳	lại
莅临	lại
踵	lại
𣔲	quạnh
送	gửi
𥦝	dòm
AVI	AVI
可用記憶體	bộ nhớ khả dụng
林布文	Chữ Limbu
窗户	cửa sổ
出现	hiện
阿格拉	Agra
战国四公子	Tứ công tử Chiến Quốc
公园	công viên
曛	hoàng hôn
曛	hoàng hôn
癫痫	Động kinh
嗷	ngao
石油	Dầu mỏ
身高	chiều cao
各子	chiều cao
体高	chiều cao
身长	chiều cao
阿拉伯海	biển Ả Rập
过失	cẩu thả
疏忽	cẩu thả
失职	cẩu thả
南非荷兰语	tiếng Hà lan ở Kếp
圩	vò
下诺曼底	Basse-Normandie
人心果	hồng xiêm
有权威	quan trọng
权威	quan trọng
权威性	quan trọng
T恤衫	áo thun
T恤衫	áo thể thao
T恤	áo thun
T恤	áo thể thao
步枪	súng trường
来福枪	súng trường
来复枪	súng trường
冰	băng
杜金卡	Dudinka
瓦龙语	Tiếng Oa-lon
帆	buồm
风帆	buồm
视频在前	Video đỉnh
视图	góc nhìn
檢視表	cách nhìn
分开	tách
盐湖城	Salt Lake City
哈哈	mặt cười miệng há
吲	dặn
吲	dặn
睨	nghễ
邪魔	ma quái
邪魔	yêu ma
邪魔	quỷ
邪魔	ma quỷ
恶魔	ma quái
恶魔	yêu ma
恶魔	quỷ
恶魔	ma quỷ
魔鬼	ma quái
魔鬼	yêu ma
魔鬼	quỷ
魔鬼	ma quỷ
妖魔	ma quái
妖魔	yêu ma
妖魔	quỷ
妖魔	ma quỷ
圣巴泰勒米	St. Barthélemy
罐子	hủ
罐	hủ
小集团	môn
朋党	môn
派	môn
阀	môn
福州	Phúc Châu
诺基亚 N93	Nokia N93
早	tảo
美苏冷战	Chiến tranh Lạnh
美苏冷战	chiến tranh lạnh
冷战	Chiến tranh Lạnh
冷战	chiến tranh lạnh
4G	4G
美索不达米亚	Lưỡng Hà
荼	dưa
剪子	kéo
剪刀	kéo
西西里文	Tiếng Sicilia
红移	dịch chuyển đỏ
白羊座	Bạch Dương
麻醉	gây mê
麻醉	gây tê
矩尺座	Củ Xích
咚	giọng
英蒂迪	Ieng Thirith
SVG	SVG
伏特	vôn
千卡	kilô calo
毫安	mili ampe
欧姆	ohm
焦耳	jun
卡路里	calo
千瓦时	kilôoát giờ
吉赫	GHz
阿拉伯文	tiếng A Rập
阿拉伯语	tiếng A Rập
乌克兰文	tiếng U-kren
乌克兰语	tiếng U-kren
普里什蒂纳	Priština
金	vàng
字典	tự điển
词典	tự điển
星期一	thứ hai
沙特尔	Chartres
林业	Lâm nghiệp
塞万提斯奖	Giải Cervantes
㤕	trót
爬虫	bò sát
爬虫	động vật bò sát
爬虫动物	bò sát
爬虫动物	động vật bò sát
爬行动物	bò sát
爬行动物	động vật bò sát
掘	bới
掘	đào
挖	bới
挖	đào
挖掘	bới
挖掘	đào
咥	chối
超市	siêu thị
超级市场	siêu thị
布里斯班	Brisbane
驯鹿	tuần lộc
卢森堡	Luxembourg
季	quí
奥林匹克运动会	Thế vận hội
奥林匹克	Thế vận hội
奥运会	Thế vận hội
帮	giúp
帮	giúp đỡ
帮	hỗ trợ
帮	trợ giúp
孟	mạnh
气味	mùi
气味	hơi
福柏	Phoebe
孤	cô
木兰目	Bộ Mộc lan
越南粉	phở
檬粉	phở
剑桥大学	Đại học Cambridge
幼稚园	vườn trẻ
幼稚园	mẫu giáo
幼稚园	nhà trẻ
幼儿园	vườn trẻ
幼儿园	mẫu giáo
幼儿园	nhà trẻ
点燃	nhóm
点火	nhóm
塞浦路斯	Kypros
塞浦路斯	Síp
Java	Java
JavaScript	JavaScript
突	đột
穿	xuyên
穿	xuyên
離線	ngoại tuyến
汉语拼音	Bính âm Hán ngữ
汉字	chữ Nho
汉字	chữ Hán
汉字	Hán tự
意大利足球甲级联赛	Giải vô địch bóng đá Ý
交趾支那	Nam Kỳ
白	bạch
登出	đăng xuất
燃烧	cháy
烧	cháy
基督Jīdū)	chúa Giê-su
基督Jīdū)	chúa Kitô
抃	bện
抄	sao
承	thừa
承	thừa
找	quơ
抃	bện
技	kĩ
钟乳石	thạch nhũ
奖酬	tiền các
奖酬	tiền thưởng
眼睛	mắt
猢	hồ
敌手	đối thủ
对手	đối thủ
雄	hùng
雄	hùng
集	tập
雅	nhã
伯	bá
危险	nguy hiểm
柬埔寨	Campuchia
卡尔维	Calvi
约翰内斯·勃拉姆斯	Johannes Brahms
乌贼	mực
乌贼	cá mực
卡纳维拉尔角	Trung tâm vũ trụ John F. Kennedy
测试器	màn hình
石竹目	Bộ Cẩm chướng
活动报告	Báo cáo hoạt động
阿塞拜疆夏令时间	Giờ Mùa Hè Azerbaijan
胶州市	Giao Châu
黑	hắc
黑	hắc
黑	hắc
空气	không khí
一月	Meskerem
二月	Tekemt
篝	quảu
食欲	ngon miệng
食慾	ngon miệng
保罗·马丁	Paul Martin
精装笔记本	sổ tay với bìa trang trí
瓦西里·崔可夫	Vasily Ivanovich Chuikov
芒果	quả xoài
芒果	xoài
芒果	trái xoài
牛	Trâu
虎	Hổ
癸亥	Quý Hợi
鼠	Chuột
壬戌	Nhâm Tuất
风暴	trận bão
风暴	bão
暴风	trận bão
暴风	bão
偈	kệ
鄂木斯克	Omsk
帮助	trợ giúp
帮助	giúp đỡ
帮助	hỗ trợ
帮助	giúp
帮	trợ giúp
帮	giúp đỡ
帮	hỗ trợ
帮	giúp
玫瑰经	kinh mân côi
MAD	MAD
摩洛哥法郎	Đồng Franc Ma-rốc
摩洛哥迪拉姆	Dirham Ma-rốc
菜豆	đậu cô ve
刀豆	đậu cô ve
动物学	động vật học
波尔多	Bordeaux
阿布·努瓦斯	Abu Nuwas
点击	gõ nhẹ
杺	tăm
关塔那摩	Guantánamo
梹	biêng
梶	vả
宜昌市	Nghi Xương
德拉库拉	Bá tước Dracula
贝尔格莱德	Belgrade
雅赫摩斯二世	Ahmose II
类星体	chuẩn tinh
似星体	chuẩn tinh
分子	phân tử
太湖	Thái Hồ
需求	yêu cầu
要求	yêu cầu
貂熊	chồn Gulo
魁北克市	Thành phố Québec
联邦	liên bang
联合会	liên bang
长宁区	Trường Ninh
美国之音	VOA
埃及	Ai Cập
美国	Hoa Kỳ
墨西哥	Mexico
𥆡	dòm
火野玲	Thủy thủ Mặt Trăng
晴朗	nắng
日出	bình minh
语句	câu lệnh
键	phím
尙	thượng
慕尼黑惨案	Thảm sát München
基督教	Kitô giáo
菟	tho
胶片颗粒	Hạt Phim
开	mở
打开	mở
介	giới
激	khích
激	váng
阿納托里·卡爾波夫	Anatoly Evgenyevich Karpov
古近纪	Kỷ Paleogen
介	giới
成语	thành ngữ
莪	ngò
坏	xấu
坏	dở
果园	vườn cây ăn trái
果园	vườn cây ăn quả
井	tỉnh
万州区	Vạn Châu
加沙	Dải Gaza
加萨	Dải Gaza
獠牙	ngà
梁羽生	Lương Vũ Sinh
沙	cát
沙子	cát
艋	mành
低亮度	nút mờ
保罗·狄拉克	Paul Dirac
阿纳德尔	Anadyr
礼记	Kinh Lễ
新奥尔良	New Orleans
詹卡洛·费斯切拉	Giancarlo Fisichella
哥本哈根	Copenhagen
有轨电车	tàu điện
缅甸	Myanma
嫜	cha chồng
嫜	cha vợ
岳父	cha chồng
岳父	cha vợ
公公	cha chồng
公公	cha vợ
性交	giao cấu
键盘	bàn phím
东京大学	Đại học Tokyo
䀩	nhác
墨西哥	Mexico
地球上的欧洲非洲	quả cầu châu Âu-châu Phi
料理鼠王	Ratatouille
离心机	máy ly tâm
恐怖主义者	người khủng bố
恐怖份子	người khủng bố
恐怖分子	người khủng bố
瓦迪斯瓦夫·雷蒙特	Władysław Reymont
鹿	hươu
鹿	nai
油泵	bơm nhiên liệu
布达拉宫	Cung điện Potala
消极	bị động
消极	thụ động
被动	bị động
被动	thụ động
乌日哥罗德	Uzhgorod
阳性	nam tính
阳性	tính đàn ông
岸	bãi biển
海滩	bãi biển
滨	bãi biển
滩	bãi biển
阿克里州	Acre
阳性	nam tính
阳性	tính đàn ông
枛	trảu
文件	trang hướng lên
山西省	Sơn Tây
纸张	trang bị cong
达累斯萨拉姆	Dar es Salaam
七	bảy
败兴	thất vọng
失望	thất vọng
标签	nhãn dấu trang
鬪	đấu
鬭	đấu
鬭	đấu
第四十	hạng bốn mươi
即将到来的	sắp tới
躺	nằm ra
户	hộ
户	hộ
奈	nại
通知区域	khu vực thông báo
正在播放	Hiện đang chơi
龟头	quy đầu
东条英机	Tōjō Hideki
巴伐利亚	Bayern
乌龟	cắm sừng
王八	cắm sừng
绿头巾	cắm sừng
绿帽	cắm sừng
绿帽子	cắm sừng
生物化学	hóa sinh
樟脑	long não
通布卡文	Tiếng Tumbuka
塔塔尔文	Tiếng Tatar
摄氏度	độ C
°	°
米每秒	mét/giây
毫巴	millibar
磅/平方英寸	psi
天际	chân trời
天边	chân trời
地平线	chân trời
古吉拉特邦	Gujarat
撒哈拉以南非洲	Châu Phi hạ Sahara
反战	phản chiến
抗菌素	kháng sinh
抗菌素	trụ sinh
抗生素	kháng sinh
抗生素	trụ sinh
童军	Hướng đạo
织	dệt
编	dệt
编织	dệt
网络邻居	Người Gần Tôi
罗尔德·亚孟森	Roald Amundsen
虹	cầu vồng
隮	cầu vồng
彩虹	cầu vồng
管理员模式安装	thiết lập quản trị
管理员	quản trị viên
管理员	người quản trị
管理员	người quản trị
矢	ngao
矢	thỉ
𠲿	thốc
5月	Sravana
1月	Chaitra
十三月	Elul
3月	Jyaistha
2月	Vaisakha
九月	Iyar
十二月	Av
十一月	Tamuz
五月	tháng năm
5月	tháng năm
毛里求斯	Mauritius
靛青	cây chàm
靛青	chàm
靛蓝	cây chàm
靛蓝	chàm
体育	thể dục
郭盛	Quách Thịnh
光源	đèn
灯	đèn
关系	quan hệ
关系	liên hệ
螃蟹	cua
合数	hợp số
尼加拉瓜金科多巴	Córdoba Nicaragua
荷兰盾	Đồng Guilder Hà Lan
挪威克朗	Krone Na Uy
洪七公	Hồng Thất Công
海马	hải mã
海马	cá ngựa
软件捆绑程序	bó phần mềm
软件授权商务客户端	Khách Thương mại được Cấp phép Phần mềm
那	cái ấy
那	việc ấy
脚	bàn chân
足	bàn chân
头	đầu
耳朵	tai
眼睛	mắt
鼻子	mũi
口	miệng
口	mồm
嘴	miệng
嘴	mồm
齿	răng
牙	răng
牙齿	răng
舌头	lưỡi
指甲	móng
自我修养	tự cải tiến
自强	tự cải tiến
自我改善	tự cải tiến
OpenID	OpenID
骨质	xương
骨质	chất xương
风云	Phong Vân
南极洲	Châu Nam Cực
南极洲	Nam Cực
澳大利亚	Úc
澳大利亚	Úc Đại Lợi
澳大利亚联邦	Úc
澳大利亚联邦	Úc Đại Lợi
澳洲	Úc
澳洲	Úc Đại Lợi
巴巴多斯	Barbados
巴巴多斯	Bác-ba-đốt
孟加拉	Bangladesh
孟加拉	Băng-la-đét
孟加拉人民共和国	Bangladesh
孟加拉人民共和国	Băng-la-đét
孟加拉共和国	Bangladesh
孟加拉共和国	Băng-la-đét
孟加拉国	Bangladesh
孟加拉国	Băng-la-đét
错认	nhầm lẫn
弄错	nhầm lẫn
误会	nhầm lẫn
丢	điêu
和平主义	chủ nghĩa hoà bình
柬埔寨	Campuchia
柬埔寨	Nam Vang
柬埔寨	Nông Pênh
柬埔寨	Phnôm Pênh
金边	Campuchia
金边	Nam Vang
金边	Nông Pênh
金边	Phnôm Pênh
科伦坡	Colombo
傦	cốt
斯洛伐克	Slovakia
早泄	xuất tinh sớm
胤	dận
角度	độ
菜刀	dao làm bếp
盾牌	cái khiên
手枪	súng lục
长蛇座	Rắn Biển
长蛇座	Giao Long
UTC-0:44	UTC-0:44
兰目	Bộ Phong lan
细菌	vi khuẩn
印刷体	Xuất bản
弟子	học sinh
弟子	học trò
生徒	học sinh
生徒	học trò
学生	học sinh
学生	học trò
瞳孔	con ngươi
瞳孔	đồng tử
瞳子	con ngươi
瞳子	đồng tử
十一月	tháng mười một
捷克斯洛伐克	Tiệp Khắc
谷木科	Họ Sầm
杄	then
阿联酋迪拉姆	Dirham UAE
阿联酋迪拉姆	Dirham UAE
阿富汗尼 (1927–2002)	Đồng Afghani của Afghanistan (1927–2002)
AED	AED
打印和映像设备	Thiết bị In và Tạo ảnh
隱私權	sự riêng tư
牲	sinh
牲	sinh
多角形	đa giác
伦敦证券交易所	Sở giao dịch chứng khoán London
㩧	bẹo
㩧	bẹo
红场	quảng trường Đỏ
来世	thế giới bên kia
来世	kiếp sau
后世	thế giới bên kia
后世	kiếp sau
游戏	trò chơi
卡纳塔克邦	Karnataka
无形	tàng hình
无形	vô hình
无形	ẩn hình
隐形	tàng hình
隐形	vô hình
隐形	ẩn hình
古加拉提文	Tiếng Gujarati
第	nồng
第	đệ
秘密政党	xã hội đen
黑手党	xã hội đen
秘密集团	xã hội đen
杂志	tạp chí
胎盘	nhau
胎盘	thực giá noãn
世亲	Thế Thân
盆景	bonsai
盆栽	bonsai
显赫	có tiếng
显赫	lừng lẫy
显赫	nổi tiếng
显赫	rạng rỡ
显赫	vinh quang
杰出	có tiếng
杰出	lừng lẫy
杰出	nổi tiếng
杰出	rạng rỡ
杰出	vinh quang
黄鼠狼	chồn bơlet
温	âm ấm
温	ấm
比	hơn
涞	thui
小美人鱼	Nàng tiên cá
H.O.T.	H.O.T.
拥挤	đông
挤满人	đông
挤满	đông
名作	kiệt tác
杰作	kiệt tác
Tk	Tk
石榴	quả lựu
QCad	QCad
琼山区	Quỳnh Sơn
抿	hớp
啜	hớp
古生代	Đại Cổ Sinh
南宁吴圩机场	Sân bay quốc tế Ngô Vu Nam Ninh
参加	tham gia
痛	thống
蛇	xà
节日	hội diễn
节日	lễ hội
节日	đại hội liên hoan
节日	ngày hội
节庆	hội diễn
节庆	lễ hội
节庆	đại hội liên hoan
节庆	ngày hội
汇演	hội diễn
汇演	lễ hội
汇演	đại hội liên hoan
汇演	ngày hội
会演	hội diễn
会演	lễ hội
会演	đại hội liên hoan
会演	ngày hội
节	hội diễn
节	lễ hội
节	đại hội liên hoan
节	ngày hội
美国总统列表	Tổng thống Hoa Kỳ
比利时法郎（可兑换）	Đồng Franc Bỉ (có thể chuyển đổi)
BDT	BDT
৳	৳
孟加拉塔卡	Taka Bangladesh
$	$
巴巴多斯元	Đô la Barbados
德川家康	Tokugawa Ieyasu
4	4
黑色	đen
黑色	hắc
黑	đen
黑	đen thui
悲	bi
悴	xót
亨利·福特	Henry Ford
顺义区	Thuận Nghĩa
风扇	quạt tay
风扇	quạt
扇子	quạt tay
扇子	quạt
粉丝	người hâm mộ
迷	người hâm mộ
爱好者	người hâm mộ
荆州市	Kinh Châu
人字拖	dép
人字拖	dép tông
BRC	BRC
古巴	Cuba
BRE	BRE
BRN	BRN
BOV	BOV
BRB	BRB
网络打印机安装向导	Thuật sĩ cài đặt máy in mạng
迭戈·马拉多纳	Diego Maradona
棋子	con cờ
梅斯	Metz
文件	tệp
政	chính
放	phóng
攻	công
汤隆	Thang Long
恶性肿瘤	ung thư
哪	nào
巴拿马	Panama
波	Chuyển động sóng
章鱼	bạch tuộc
动物	động vật
天使	thiên sứ
大爆炸理论	Vụ Nổ Lớn
姆耶内文	Tiếng Myene
有秩序	có lý
有秩序	phải
有秩序	đúng
法律上	có lý
法律上	phải
法律上	đúng
规定上	có lý
规定上	phải
规定上	đúng
马坝文	Tiếng Maba
我	tôi
伯利兹	Belize
白俄罗斯	Belarus
刚果（金）	Congo - Kinshasa
刚果（金）	Cộng hòa Dân chủ Congo
刚果民主共和国	Congo - Kinshasa
刚果民主共和国	Cộng hòa Dân chủ Congo
科科斯（基林）群岛	Quần đảo Cocos (Keeling)
加拿大	Canada
向后	lại
向后	lùi lại
后	lại
后	lùi lại
大熊猫	gấu trúc lớn
大猫熊	gấu trúc lớn
熊猫	gấu trúc lớn
猫熊	gấu trúc lớn
纳撒尼尔·霍桑	Nathaniel Hawthorne
肩	vai
肩膀	vai
牧人寻羊的比喻	Chiên lạc mất
柳	liễu
柳树	liễu
支	chi
ACL	ACL
伞形科	Họ Hoa tán
长岛县	Trường Đảo
网	mạng
网络	mạng lưới
网路	mạng lưới
£	£
冈比亚达拉西	Dalasi Gambia
直布罗陀镑	Bảng Gibraltar
GIP	GIP
GMD	GMD
几内亚法郎	Franc Guinea
里海	Biển Caspi
裏海	Biển Caspi
李恩宙	Lee Eun Joo
马绍尔群岛	Quần đảo Marshall
擅	chen
一字一字	nguyên văn
一字一字	đúng
一字不差	nguyên văn
一字不差	đúng
逐字	nguyên văn
逐字	đúng
六弦琴	cây đàn
六弦琴	ghi ta
六弦琴	ghi-ta
六弦琴	ghita
六弦琴	lục huyền cầm
六弦琴	đàn ghi-ta
吉他	cây đàn
吉他	ghi ta
吉他	ghi-ta
吉他	ghita
吉他	lục huyền cầm
吉他	đàn ghi-ta
日语	Tiếng Nhật
日语	tiếng Nhật
冰岛语	Tiếng Băng đảo
奶	sữa
牛奶	sữa
高度	độ cao
高低	độ cao
目	mục
犀	tê
椰	da
椳	ổi
玛丽亚·莎拉波娃	Maria Sharapova
洋卞文	Tiếng Yangben
耶姆巴文	Tiếng Yemba
阿尔巴尼亚	An Ba Ni
潮州话	tiếng Triều Châu
揂	dùa
郭嘉	Quách Gia
马拉松战役	Trận Marathon
比尔吉特·普林茨	Birgit Prinz
职业介绍所	cơ quan việc làm
世纪	thế kỷ
吉字节	gigabyte
印度航空	Air India
集体化	tập thể hoá
芒伽罗	Mangalore
曼加尔	Mangalore
门格洛尔	Mangalore
马达加斯加	Madagascar
脸	mặt
摩尔多瓦	Moldova
黑山	Montenegro
中国人民解放军海军	Hải quân Quân giải phóng Nhân dân Trung Quốc
缅甸	Myanmar (Miến Điện)
索尔·贝娄	Saul Bellow
仿冒网站筛选	Bộ lọc lừa đảo
网页仿冒	lừa đảo qua mạng
仿冒网站	website lừa đảo
电子空间	Internet
网络	Internet
网络空间	Internet
网路	Internet
网际网络	Internet
网际网路	Internet
虚拟空间	Internet
赛博空间	Internet
铁刺丝	dây kẽm gai
铁丝网	dây kẽm gai
有刺的铁丝网	dây kẽm gai
理发师	thợ cắt tóc
星期二	thứ ba
斯特鲁维地质测量地点	Vòng cung trắc đạc Struve
罗甘梅	thực quả mâm xôi
科利尼	Gaspard de Coligny
葫	hồ
葬	táng
葩	ba
早已	ngày xửa ngày xưa
早已	ngày xưa
悠远	ngày xửa ngày xưa
悠远	ngày xưa
很久以前	ngày xửa ngày xưa
很久以前	ngày xưa
悉尼	Sydney
Google Talk	Google Talk
园	vườn
园圃	vườn
花园	vườn
園	vườn
倡	xướng
笑容	cười
微笑	cười
田地	rẫy
田地	đồng ruộng
耕地	rẫy
耕地	đồng ruộng
农田	rẫy
农田	đồng ruộng
农民	nông dân
農民	nông dân
尼罗河	sông Nin
布尔日	Bourges
内弗尔卡拉	Neferirkare Kakai
若泽·拉莫斯·奥尔塔	José Ramos-Horta
石家庄	Thạch Gia Trang
染	nhuộm
蛹	nhộng
蜀	xọc
桌子	bàn
兄或弟	anh
兄或弟	em trai
具尔	anh
具尔	em trai
同业	anh
同业	em trai
同业者	anh
同业者	em trai
哥儿	anh
哥儿	em trai
哥哥	anh
哥哥	em trai
弟弟	anh
弟弟	em trai
手足	anh
手足	em trai
社友	anh
社友	em trai
迪高	Deco
驴骡	bạch đôi
驴骡	con la
神话	thần thoại
爱尔兰	Ireland
爱尔兰	Ái Nhĩ Lan
枣	táo tàu
枣实	táo tàu
五戒	Giới
彭世洛府	Tỉnh Phitsanulok
博	thắng
博取	thắng
博得	thắng
夺魁	thắng
得中	thắng
获得胜利	thắng
赢	thắng
赢得	thắng
佳	giai
转	quay
旋转	quay
天赋	sự tặng
捐赠	sự tặng
礼品	sự tặng
礼物	sự tặng
阿南德·萨蒂亚南德	Anand Satyanand
封建	phong kiến
封建主义	phong kiến
封建制度	phong kiến
巧克力	kẹo sô-cô-la
巧克力	nước sôcôla
巧克力	socola
巧克力	sô-cô-la
巧克力	sôcôla
朱古力	kẹo sô-cô-la
朱古力	nước sôcôla
朱古力	socola
朱古力	sô-cô-la
朱古力	sôcôla
热巧克力	kẹo sô-cô-la
热巧克力	nước sôcôla
热巧克力	socola
热巧克力	sô-cô-la
热巧克力	sôcôla
呶	nao
巴拿马	Panamá
迈克尔·克莱顿	Michael Crichton
悲	đau buồn
服务	dịch vụ
蒲公英	bồ công anh
同步管理器	bộ quản lí đồng bộ
同步管理器	bộ quản lí đồng bộ
释迦牟尼	Thích-ca Mâu-ni
之间	trong số
其中	trong số
火	lửa
根西岛	Guernsey
法罗	Faroe
小狮座	Sư Tử Nhỏ
小狮座	Sư Tử Con
阴茎	chim
阴茎	dương vật
小弟弟	chim
小弟弟	dương vật
小鸡鸡	chim
小鸡鸡	dương vật
屪	chim
屪	dương vật
老二	chim
老二	dương vật
阳具	chim
阳具	dương vật
阴径	chim
阴径	dương vật
阴茎	chim
阴茎	dương vật
鸠	chim
鸠	dương vật
鸡巴	chim
鸡巴	dương vật
胡桃	Họ Óc chó
本田技研工业	Honda
古巴可兑换比索	Peso Cuba có thể chuyển đổi
捷克硬克郎	Đồng Koruna Xu của Czechoslovakia
CUC	CUC
孔甲	Vua Khổng Giáp nhà Hạ
蛹	nhộng
和尚	giáo sĩ
僧	giáo sĩ
教士	giáo sĩ
神甫;神父	giáo sĩ
大爆炸理论	Vụ Nổ Lớn
下周二	Thứ Ba tuần sau
本周二	Thứ Ba tuần này
本周二	Thứ Ba tuần này
上周二	Thứ Ba tuần trước
上周二	Thứ Ba tuần trước
下周二	Thứ Ba tuần sau
下周二	Thứ Ba tuần sau
本周二	Thứ Ba tuần này
本周三	Thứ Tư tuần này
上周三	Thứ Tư tuần trước
盘古	Bàn Cổ
丁	đinh
马萨达	Masada
扑克红心	bộ cơ
印度尼西亚	Indonesia
扑克方片	bộ rô
妲己	Đát Kỷ
鋅	kẽm
鬼	Ma
我很渴	tôi đang khát
我渴了	tôi đang khát
缺	khuyết
缺	khuyết
轴	trục
軸	trục
尖椒	ớt
红辣椒	ớt
咖啡豆	cà phê
咖啡	cà phê
立	lập
视频在左	Video trái
一月	tháng một
保加利亚列弗 (1879–1952)	Đồng Lev của Bun-ga-ri (1879–1952)
Bs	Bs
玻利维亚诺 (1863–1963)	Đồng Boliviano của Bolivia (1863–1963)
BGO	BGO
携带	bế
携带	vác
携带	ẵm
携带	mang
运	bế
运	vác
运	ẵm
运	mang
携	bế
携	vác
携	ẵm
携	mang
带	bế
带	vác
带	ẵm
带	mang
魋	gấu
熊	gấu
纸	giấy
故宫	Tử Cấm Thành
京都	Kyoto
京都	Kyōto
神户	Kobe
神户	Kōbe
塔马齐格特文	Tiếng Tamazight Miền Trung Ma-rốc
图瓦文	Tiếng Tuvinian
