'ad		1. (pron) Connacht form of agat	alt-of connacht
leitheach		1. (noun) alternative form of leathach (“seaweed”)	alt-of alternative masculine
leithead		1. (noun) width, breadth<br />EXAMPLE: leithead boise: palm’s breath<br />EXAMPLE: ar a leithead: along its breadth<br />EXAMPLE: dhá leithead an tí seo de bhlúire prátaí: a potato patch twice the width of this house<br />EXAMPLE: áit a ghabhfadh leithead mo dhá bhonn: a place wide enough to put my two feet on<br />EXAMPLE: Cuir leithead eile sa ngúna.: Put another width in the dress.<br />2. (noun) area, space, of certain width<br />3. (noun) latitude<br />4. (noun) piece of cloth of certain width<br />EXAMPLE: Cas leithead éigin aniar ort ón mbáisteach.: Wrap a width of cloth around you on account of the rain.<br />5. (noun) sheet<br />6. (noun) overweening pride, conceit, importance	masculine
leitheadach		1. (adj) widespread<br />2. (adj) vain	
leitheadúlacht		1. (noun) prevalence	feminine general topic-epidemiology
leithid		1. (noun) inflection of leithead:<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of nominative plural
leithigh		1. (noun) vocative/genitive singular of leitheach	
leithinis		1. (noun) peninsula	feminine topic-landforms
leithleach		1. (adj) selfish, egocentric, egotistical<br />2. (adj) several (capable of being treated separately)<br />EXAMPLE: i gcomhpháirt agus go leithleach: jointly and severally<br />3. (adj) peculiar (not shared or possessed by others)<br />4. (adj) distinct (different from one another), apart<br />5. (adj) standoffish	topic-law
leithleachas		1. (noun) selfishness, egotism<br />2. (noun) particularity, peculiarity, idiosyncrasy<br />3. (noun) state of being apart<br />4. (noun) standoffishness	masculine
leithligh		1. (noun) separates (articles of clothing sold by themselves)<br />2. (noun) only used in ar leithligh (“apart, aside”)<br />3. (adj) inflection of leithleach:<br />4. (adj) masculine vocative/genitive singular<br />5. (adj) feminine dative singular	archaic dative dialectal feminine form-of masculine plural singular
leithne		1. (adj) inflection of leathan:<br />2. (adj) feminine genitive singular<br />3. (adj) comparative degree	comparative feminine form-of genitive singular
leithreas		1. (noun) alternative form of leithleachas<br />2. (noun) toilet, lavatory, water closet, latrine, privy	alt-of alternative masculine
leithreas uisce		1. (noun) water closet	masculine topic-rooms topic-toilet-(room)
leithris		1. (noun) vocative singular of leithreas<br />2. (noun) genitive singular of leithreas<br />3. (noun) nominative plural of leithreas<br />4. (noun) dative plural of leithreas	dative form-of genitive masculine nominative plural singular vocative
leithscéal		1. (noun) excuse (explanation designed to avoid or alleviate guilt or negative judgement)<br />2. (noun) apology	masculine
leithscéalach		1. (adj) fond of excuses<br />2. (adj) apologetic	
leithscéil		1. (noun) genitive singular of leithscéal	form-of genitive masculine singular
leithéid		1. (noun) the like (of), the equal (of)<br />EXAMPLE: a leithéid de: the like of, what a…!, that sort of<br />EXAMPLE: agus a leithéid: and all that, and so on<br />EXAMPLE: Ní bheidh ár leithéidí arís ann.: There will not be the like of us again.	feminine
leitir		1. (noun) hillside<br />2. (noun) Cois Fharraige and Kerry form of litir (“letter”)	alt-of cois-fharraige feminine kerry
leitreacha		1. (noun) plural of leitir	feminine form-of plural
leitís		1. (noun) lettuce	feminine topic-vegetables
leitís uain		1. (noun) lamb's lettuce, corn salad (Valerianella locusta)	feminine topic-vegetables
lem		1. (contraction) contraction of le + mo, literally “with my”<br />EXAMPLE: Chuir sé cúl orm lem chuid oibre.: It left me late with my work.	abbreviation alt-of contraction munster triggers-lenition
len		1. (prep) alternative form of le	alt-of alternative dialectal
lena		1. (particle) with which, with whom (indirect relative; not used in the past tense except with some irregular verbs)<br />EXAMPLE: an t-ord lena bhfuil sé ag briseadh an chathaoir: the sledgehammer with which he is breaking the chair<br />EXAMPLE: an bhean lena dúirt sé é: the woman to whom he told it<br />2. (contraction) contraction of le (“with”) + a (various meanings)<br />EXAMPLE: lena dheartháir: with his brother<br />EXAMPLE: lena hathair: with her father<br />EXAMPLE: lena ndeartháir: with their brother	abbreviation alt-of contraction triggers-eclipsis
lena chois		1. (pron) third-person singular masculine of le cois	form-of masculine singular third-person
lena cois		1. (pron) third-person singular feminine of le cois	feminine form-of singular third-person
lenar		1. (particle) with which/whom<br />EXAMPLE: an buachaill lenar bhuail mé: the boy with whom I met<br />2. (particle) with which/whom is<br />EXAMPLE: an fear lenar féidir labhairt le hainmhithe: the man who can talk to animals<br />3. (particle) with which/whom was/would be<br />EXAMPLE: an bhean lenar dhóigh gurbh fhíor é: the woman who believed it was true	
lenarb		1. (particle) with which/whom is<br />EXAMPLE: páiste lenarb eagal go dtiocfaidh robálaí sa teach: a child who is afraid that a robber will come into the house	
lenarbh		1. (particle) with which/whom was/would be<br />EXAMPLE: an fear lenarbh fhéidir labhairt le hainmhithe: the man who could talk to animals<br />EXAMPLE: páiste lenarbh eagal go dtiocfadh robálaí sa teach: a child who was afraid that a robber would come into the house	
lenár		1. (contraction) contraction of le + ár<br />EXAMPLE: lenár gcabhair: with our help	abbreviation alt-of contraction triggers-eclipsis
leo		1. (pron) third-person plural of le: with them, to them<br />2. (noun) slush, slime, slick	form-of masculine plural third-person
leob		1. (pron) Galway form of leo: third-person plural of le	alt-of galway
leoca-		1. (prefix) leuk(o)-, leuc(o)-	morpheme
leocai-		1. (prefix) alternative form of leoca-, used before a slender consonant.	alt-of alternative morpheme
leocaicít		1. (noun) leukocyte	feminine topic-cytology topic-hematology topic-immunology
leochaileacht		1. (noun) frailness, fragility, tenderness, susceptibility, vulnerability	feminine
leofa		1. (verb) past participle of leomh<br />2. (noun) genitive singular of leomhadh<br />3. (pron) Ulster form of leo (third-person plural of le): with them, to them	alt-of form-of genitive participle past singular ulster
leoga		1. (adv) indeed (used as a general intensifier)	ulster
leoin		1. (noun) inflection of leon:<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of nominative plural
leointe		1. (adj) sickly, weak<br />2. (verb) alternative form of leonta<br />3. (noun) will, volition	alt-of alternative munster participle
leomh		1. (verb) to dare, presume (be presumptuous enough)<br />EXAMPLE: Ní leomhfainn é sin a rá.: I wouldn't dare/presume to say that.<br />2. (verb) to allow	
leon		1. (noun) lion<br />2. (verb) sprain<br />3. (verb) injure, wound	masculine transitive
leona		1. (noun) vocative plural of leon<br />2. (verb) present subjunctive analytic of leon	analytic form-of masculine plural present subjunctive vocative
leonadh		1. (noun) verbal noun of leon<br />2. (noun) sprain, injury, wound<br />3. (verb) inflection of leon:<br />4. (verb) past indicative autonomous<br />5. (verb) past habitual analytic<br />6. (verb) past subjunctive analytic<br />7. (verb) third-person singular imperative	analytic autonomous countable form-of habitual imperative indicative masculine noun-from-verb past singular subjunctive third-person uncountable
leonaim		1. (verb) first-person singular present indicative/imperative of leon	
leonann		1. (verb) present indicative analytic of leon	analytic form-of indicative present
leonas		1. (verb) inflection of leon:<br />2. (verb) present indicative relative<br />3. (verb) first-person singular past indicative	first-person form-of indicative past present relative singular
leonfaidh		1. (verb) future analytic of leon	analytic form-of future
leonta		1. (verb) past participle of leon<br />2. (noun) genitive singular of leonadh	form-of genitive participle past singular
leontaíl		1. (noun) only used in de do leontaíl féin	ulster
leor		1. (adj) sufficient, ample	literary
leoraithe		1. (noun) plural of leoraí	form-of plural
leoraí		1. (noun) lorry, truck	masculine topic-vehicles
leoraí altach		1. (noun) articulated lorry, semi-trailer truck	masculine topic-vehicles
leoraís		1. (noun) Cois Fharraige form of leoraithe	alt-of cois-fharraige
leorchúiteamh		1. (noun) indemnification	masculine
leordhóthain		1. (noun) sufficiency, plenty	feminine
leordhóthanacht		1. (noun) self-sufficiency	feminine
leorfhianaise		1. (noun) sufficient evidence	feminine topic-law
leorga		1. (adj) sufficient	
leorgacht		1. (noun) sufficiency, adequacy	feminine
leorghníomh		1. (noun) full amends, reparation, restitution	masculine
leosan		1. (pron) third-person plural emphatic of le	emphatic form-of plural third-person
let		1. (contraction) contraction of le + do, literally “with your sg”<br />EXAMPLE: let thoil: please	abbreviation alt-of contraction munster triggers-lenition
leá		1. (noun) verbal noun of leáigh<br />2. (noun) dissolution	form-of masculine noun-from-verb
leáigh		1. (verb) to melt	intransitive transitive
leáigí		1. (verb) second-person plural imperative of leáigh	form-of imperative plural second-person
leáim		1. (verb) first-person singular present indicative/imperative of leáigh	
leáis		1. (verb) second-person singular past indicative of leáigh	form-of indicative past second-person singular
leáite		1. (verb) past participle of leáigh	form-of participle past
leás		1. (verb) inflection of leáigh:<br />2. (verb) relative present indicative<br />3. (verb) first-person singular past indicative	connacht first-person form-of indicative munster past present relative singular
leó		1. (pron) obsolete spelling of leo	alt-of obsolete
lia		1. (noun) stone, pillar-stone<br />2. (noun) healer, physician<br />3. (noun) flood, torrent<br />4. (adj) more, more numerous	literary masculine
lia ban		1. (noun) gynaecologist	masculine topic-medicine topic-occupations
lia súl		1. (noun) oculist	masculine topic-healthcare-occupations
liach		1. (noun) ladle, dipper<br />2. (noun) ladleful<br />3. (noun) measure (unspecified portion or quantity)	feminine
liacha		1. (noun) nominative/vocative/dative plural of liach	dative form-of nominative plural vocative
liacht		1. (noun) medicine (practice, profession)	feminine topic-medicine
liag		1. (noun) stone<br />2. (noun) headstone<br />3. (noun) inflection of lia (“stone, pillar”):<br />4. (noun) genitive plural<br />5. (noun) genitive singular	archaic feminine form-of genitive plural singular
liaga		1. (noun) nominative/vocative/dative plural of lia<br />2. (noun) nominative/vocative/dative plural of liag	dative form-of masculine nominative plural vocative
liaigh		1. (noun) obsolete spelling of lia (“healer, physician”)	alt-of masculine obsolete
liairne		1. (noun) loafer (lazy, slothful person)	masculine topic-people
lialainne		1. (noun) genitive singular of lialann	feminine form-of genitive singular
lialann		1. (noun) surgery (doctor's consulting room)	feminine topic-medicine
lialanna		1. (noun) nominative plural of lialann	feminine form-of nominative plural
liamhán		1. (noun) basking shark (Cetorhinus maximus)	masculine topic-lamniform-sharks
liamhán gréine		1. (noun) basking shark	masculine topic-carcharhiniform-sharks
liamhán mór		1. (noun) basking shark	masculine topic-carcharhiniform-sharks
liamhás		1. (noun) ham	masculine topic-meats
lianna		1. (noun) plural of lia (“doctor”)	form-of masculine plural
liarlóg pháipéir		1. (noun) sheet of paper	feminine topic-paper
liath		1. (adj) grey<br />2. (adj) light blue<br />3. (adj) grey-haired<br />EXAMPLE: Is minic duine liath lúfar.: Grey hairs need not signify old age.<br />4. (adj) grey (colour)<br />5. (adj) grey-haired person; grey horse<br />6. (adj) grey cow<br />7. (verb) turn grey; become faded<br />8. (verb) give someone grey hairs, wear someone out; colour water, tea (with milk)	feminine intransitive masculine noun-from-verb transitive
liatha		1. (adj) nominative/strong genitive/dative/vocative plural of liath	dative form-of genitive nominative plural strong vocative
liathróid		1. (noun) ball (for games)	feminine topic-ball-games
liathróide		1. (noun) genitive singular of liathróid	form-of genitive singular
liathróidí		1. (noun) plural of liathróid	feminine form-of plural
liatháin		1. (noun) inflection of liathán:<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of masculine nominative plural
liathán		1. (noun) spleen	masculine topic-anatomy
lib		1. (pron) Galway form of libh	alt-of galway
libh		1. (pron) second-person plural of le: with/to you pl	form-of plural second-person
libhse		1. (pron) second-person plural emphatic of le	emphatic form-of plural second-person
libídeo		1. (noun) libido	masculine topic-psychology topic-psychotherapy
lic		1. (noun) alternative form of leic: dative singular of leac	alt-of alternative archaic dialectal feminine
lice		1. (noun) alternative form of leice: genitive singular of leac	alt-of alternative feminine singular
licéar		1. (noun) liqueur	masculine topic-alcoholic-beverages
lifting		1. (noun) taffrail	feminine literary topic-nautical
lig		1. (verb) to let, allow	
lig ar		1. (verb) to pretend<br />EXAMPLE: Tá sé ag ligean air féin go bhfuil sé bodhar.: He's pretending to be deaf.<br />2. (verb) to let on (to reveal or indicate)<br />EXAMPLE: Do ghlac rabharta feirge an captaen, ach níor leig sé aon nídh air.: A flood of rage seized captain was filled with rage, but he didn’t let on.	
lig ar ceal		1. (verb) to forget (neglect, unintentionally not do)<br />2. (verb) to forfeit (suffer the loss of)	transitive
lig do scíth		1. (verb) to rest, relax<br />EXAMPLE: Tá mé ag ligean mo scíth.: I’m resting/relaxing.	
lige		1. (verb) present subjunctive analytic of lig	analytic form-of present subjunctive
ligeadh		1. (verb) inflection of lig:<br />2. (verb) autonomous past indicative<br />3. (verb) analytic past habitual<br />4. (verb) analytic past subjunctive<br />5. (verb) third-person singular imperative	analytic autonomous form-of habitual imperative indicative past singular subjunctive third-person
ligean		1. (noun) verbal noun of lig<br />2. (noun) release<br />3. (noun) play (extent to which a part of a mechanism can move freely)<br />4. (noun) slack (part of anything that hangs loose, having no strain upon it)	form-of masculine noun-from-verb
ligeann		1. (verb) analytic present indicative of lig	analytic form-of indicative present
ligfead		1. (verb) first-person singular future of lig	first-person form-of future singular
ligfeas		1. (verb) relative future of lig	form-of future relative
ligfidh		1. (verb) analytic future of lig	analytic form-of future
ligh		1. (verb) lick<br />2. (verb) fawn on	ambitransitive transitive
ligid		1. (verb) third-person plural present indicative/subjunctive of lig	archaic form-of indicative munster plural present subjunctive third-person
ligim		1. (verb) first-person singular present indicative/imperative of lig	
ligin		1. (noun) genitive singular of ligean	form-of genitive masculine singular
ligis		1. (verb) second-person singular past of lig	form-of past second-person singular
ligthe		1. (verb) past participle of lig<br />2. (adj) fond (of), addicted (to) (with le or ar)<br />EXAMPLE: Tá sé ligthe le staidéar.: He is fond of studying.<br />EXAMPLE: Tá sí ligthe ar an ól.: She is addicted to drink.<br />3. (adj) loose-limbed, lithe<br />4. (noun) genitive singular of ligean	form-of genitive masculine participle past singular
lil		1. (noun) alternative form of lile (“lily”)	alt-of alternative feminine obsolete
lile		1. (noun) lily (flower in the genus Lilium)<br />2. (noun) inflection of lil:<br />3. (noun) genitive singular<br />4. (noun) nominative/vocative plural	feminine form-of genitive nominative obsolete plural singular vocative
lilibh		1. (noun) dative plural of lil (“lily”)	archaic dative form-of plural
limfe		1. (noun) lymph	feminine topic-immunology topic-physiology
limis		1. (verb) inflection of ligh:<br />2. (verb) first-person plural past habitual<br />3. (verb) first-person plural past subjunctive	first-person form-of habitual past plural subjunctive
limistéar		1. (noun) area, tract, territory<br />2. (noun) sphere of action, district	masculine
limistéar coisithe		1. (noun) pedestrian zone	masculine topic-walking
linbh		1. (noun) vocative/genitive singular of leanbh (“baby; child”)	masculine
linbhín		1. (noun) alternative form of leanbhín (“little baby”)	alt-of alternative masculine
ling		1. (verb) leap, spring<br />2. (verb) jump at, attack<br />3. (verb) start back, shrink away from (with ó (“from”))	ambitransitive literary
lingchlár		1. (noun) springboard<br />2. (noun) spring balance (measuring instrument)	masculine topic-gymnastics
linge		1. (verb) present subjunctive analytic of ling	analytic form-of present subjunctive
lingeadh		1. (noun) verbal noun of ling<br />2. (noun) jump, spring<br />3. (noun) assault<br />4. (verb) inflection of ling:<br />5. (verb) imperfect analytic<br />6. (verb) third-person singular analytic<br />7. (verb) past subjunctive analytic<br />8. (verb) past indicative autonomous	analytic autonomous form-of imperfect indicative masculine noun-from-verb past singular subjunctive third-person
lingeann		1. (verb) present indicative analytic of ling	analytic form-of indicative present
lingfidh		1. (verb) future analytic of ling	analytic form-of future
lingis		1. (verb) second-person singular past indicative of ling	form-of indicative literary munster past second-person singular
lingthe		1. (verb) past participle of ling<br />2. (noun) genitive singular of lingeadh	form-of genitive masculine participle past singular
lingthí		1. (noun) plural of lingeadh	form-of masculine plural
linn		1. (noun) pool, pond; body of water, lake, sea<br />2. (noun) space of time, period<br />EXAMPLE: cuntas na linne: a contemporary account<br />3. (pron) first-person plural of le: with us, to us	feminine first-person form-of plural
linn snámha		1. (noun) swimming pool	feminine topic-swimming
linn-		1. (prefix) limno-	morpheme
linne		1. (noun) genitive singular of linn<br />2. (pron) first-person plural emphatic of le	emphatic first-person form-of genitive plural singular
linneolaíocht		1. (noun) limnology	feminine topic-ecology topic-sciences
linntreog		1. (noun) small puddle, pool<br />2. (noun) pothole	feminine
linseáil		1. (verb) lynch<br />2. (noun) verbal noun of linseáil	feminine form-of noun-from-verb transitive
liobairne		1. (noun) looseness (of skin)<br />2. (noun) disarray, ruin, rack and ruin<br />EXAMPLE: dul chun liobairne: to go to (rack and) ruin	feminine ulster
liobar		1. (noun) hanging lip<br />2. (noun) any loose, sagging thing, something saggy<br />3. (noun) untidy person<br />4. (noun) flabby person or thing	masculine
liobarnach		1. (adj) unwieldy<br />2. (adj) clumsy (awkward, lacking coordination, not graceful, not dextrous)<br />3. (adj) floppy, flabby, hanging loose<br />4. (adj) sloppy, tattered, slovenly<br />5. (noun) alternative form of liobarnacht	alt-of alternative feminine
liom		1. (pron) first-person singular of le: with me, to me	first-person form-of singular
liom-sa		1. (pron) superseded spelling of liomsa	alt-of archaic
liomsa		1. (pron) first-person singular emphatic of le<br />EXAMPLE: Is liomsa an ceann sin.: That one’s mine.	emphatic first-person form-of singular
liomóg		1. (noun) nip (small bite)<br />2. (noun) pinch (action of squeezing a small amount of skin)	feminine
lionn		1. (noun) humour (of the body)<br />2. (noun) alternative form of leann	alt-of alternative masculine munster
lionn dubh		1. (noun) black bile<br />2. (noun) melancholy<br />EXAMPLE: Anois tá lionn dubh orm fhéin nach bhfaca mé rud chomh soiléir sin.: Now I'm melancholy that I didn't see a thing so clearly.<br />3. (noun) depression<br />4. (noun) alternative form of leann dubh (“porter, stout”)	alt-of alternative historical masculine munster topic-psychology
lionn rua		1. (noun) choler (anger; yellow bile)	masculine topic-anger
lionsa		1. (noun) lens	masculine topic-anatomy topic-geometry topic-optics
liopa		1. (noun) lip; hanging lip; blubberer<br />2. (noun) lap, tag, hanging shred; flap, lapel; (anatomy) lobe<br />3. (noun) flipper	masculine topic-anatomy
liopa cluaise		1. (noun) earlobe	masculine topic-body-parts
liopa-dhéadach		1. (adj) labiodental<br />2. (noun) labiodental	masculine topic-phonetics
liopaird		1. (noun) inflection of liopard (“leopard”):<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of masculine nominative plural
liopard		1. (noun) leopard (Panthera pardus)	masculine topic-felids
liopard fiaigh		1. (noun) cheetah	masculine topic-felids
liopard marmarach		1. (noun) clouded leopard	masculine topic-felids
liopard sneachta		1. (noun) snow leopard	masculine topic-felids
liopardchat		1. (noun) leopard cat	masculine topic-felids
liopasta		1. (adj) untidy<br />2. (adj) ungainly, clumsy	
liopastacht		1. (noun) untidiness<br />2. (noun) clumsiness	feminine
liopaí		1. (noun) plural of liopa	form-of masculine plural
lios		1. (noun) enclosed ground of (ancient) dwelling-house; enclosed space, garth<br />2. (noun) ringfort<br />3. (noun) fairy mound<br />4. (noun) ring, halo	masculine
liosanna		1. (noun) plural of lios	form-of masculine plural
liost		1. (noun) teasel	masculine topic-honeysuckle-family-plants
liosta		1. (noun) list (register or roll of paper; codified representation of a list)<br />2. (noun) list<br />3. (adj) slow, tedious<br />4. (adj) irksome, tiresome<br />5. (adj) persistent, importunate<br />6. (noun) genitive singular of liost (“teasel”)	form-of genitive masculine singular topic-nautical
liostacht		1. (noun) tediousness, tiresomeness<br />2. (noun) persistence, importunity	feminine
liostachta		1. (noun) genitive singular of liostacht	feminine form-of genitive singular
liostanna		1. (noun) plural of liost (“teasel”)	form-of masculine plural
liostaí		1. (noun) plural of liosta	form-of masculine plural
liotóid		1. (noun) litotes	feminine rhetoric topic-rhetoric
lipid		1. (noun) lipid	feminine topic-organic-compounds
lipide		1. (noun) genitive singular of lipid	feminine form-of genitive singular
lipifileacht		1. (noun) lipophilicity	feminine topic-chemistry
lipifileachta		1. (noun) genitive singular of lipifileacht	form-of genitive singular
lipéad		1. (noun) label	masculine
lipéad greamaitheach		1. (noun) adhesive label	masculine
lipéid		1. (noun) inflection of lipéad (“label”):<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of masculine nominative plural
lir		1. (noun) genitive singular of lear	form-of genitive singular
liric		1. (noun) lyric	feminine
liriceach		1. (adj) lyric, lyrical	
liriciúil		1. (adj) lyric, lyrical, poetical	
liriciúlacht		1. (noun) lyricism	feminine
liricí		1. (adj) inflection of liriceach:<br />2. (adj) genitive singular feminine<br />3. (adj) comparative degree<br />4. (noun) plural of liric	comparative feminine form-of genitive plural singular
lispin		1. (noun) linchpin	masculine
lite		1. (verb) past participle of ligh	form-of participle past
liteagrafaíocht		1. (noun) lithography	feminine topic-printing
liteagrafaíochta		1. (noun) genitive singular of liteagrafaíocht	feminine form-of genitive singular
litear		1. (verb) present indicative and present subjunctive/imperative autonomous of ligh	
liteartha		1. (adj) literary; literate<br />2. (adj) literal	
litearthacht		1. (noun) literariness<br />2. (noun) literacy	feminine
liteastratagrafaíocht		1. (noun) lithostratigraphy	feminine topic-geology
liteastratagrafaíochta		1. (noun) genitive singular of liteastratagrafaíocht	feminine form-of genitive singular
liteolaíocht		1. (noun) lithology	feminine topic-geology
liti-		1. (prefix) litho-	morpheme
litiam		1. (noun) lithium (chemical element)	masculine topic-alkali-metals topic-chemical-elements
litigineas		1. (noun) lithogenesis	masculine topic-geology topic-pathology
litir		1. (noun) letter (symbol in an alphabet)<br />2. (noun) letter (written communication)	feminine
litirphreas		1. (noun) letterpress	masculine topic-printing
litisféar		1. (noun) lithosphere	masculine topic-geology
litisféir		1. (noun) inflection of litisféar:<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of masculine nominative plural
litre		1. (noun) alternative form of litreach: genitive singular of litir<br />2. (noun) alternative form of litreacha: nominative plural of litir	alt-of alternative archaic feminine
litreach		1. (noun) genitive singular of litir (“letter”)	feminine form-of genitive singular
litreacha		1. (noun) plural of litir	feminine form-of plural
litrigh		1. (verb) to spell	transitive
litritheoir		1. (noun) speller	masculine topic-people
litritheoir fógraí		1. (noun) signwriter	masculine topic-occupations
litriú		1. (noun) verbal noun of litrigh<br />2. (noun) spelling<br />3. (noun) orthography	form-of masculine noun-from-verb
litríocht		1. (noun) literature	feminine topic-literature
litríochta		1. (noun) genitive singular of litríocht	form-of genitive singular
litríochtaí		1. (noun) plural of litríocht	feminine form-of plural
liófóbach		1. (adj) lyophobic	topic-geology
liú		1. (noun) verbal noun of liúigh<br />2. (noun) a shout, yell	form-of masculine noun-from-verb
liúdramán		1. (noun) lanky, lazy person<br />2. (noun) loafer<br />3. (noun) drone (bee)	masculine
liúdramántacht		1. (noun) loafing	feminine
liúit		1. (noun) lute	feminine topic-string-instruments
liúite		1. (noun) genitive singular of liúit	feminine form-of genitive singular
liúiteadóir		1. (noun) lutist, lutenist	masculine topic-musicians
liúntas		1. (noun) allowance	masculine
liúr		1. (verb) to thrash, wallop, beat, trounce<br />2. (verb) to flog (whip or scourge as punishment)<br />3. (noun) pole (long and slender object for construction or support)<br />EXAMPLE: liúracha curaigh: currach laths	masculine
liútair		1. (noun) genitive singular of liútar<br />2. (noun) nominative plural of liútar<br />3. (noun) dative plural of liútar	dative form-of genitive masculine nominative plural singular
liútar		1. (noun) big ungainly man<br />2. (verb) present autonomous of liúigh	autonomous form-of masculine nonstandard present
lobh		1. (verb) to rot, decay	ambitransitive
lobhadh		1. (noun) verbal noun of lobh<br />2. (noun) rot, decay<br />3. (noun) time forfeiture (of pledge); lapse (of right); neglect (of rule)	form-of literary masculine noun-from-verb
lobhaidh		1. (verb) second-person plural imperative of lobh<br />2. (noun) genitive singular of lobhadh	form-of genitive imperative masculine plural second-person singular
lobhaim		1. (verb) first-person singular present indicative/imperative of lobh	
lobhaite		1. (verb) past participle of lobh	form-of nonstandard participle past
lobhann		1. (verb) present indicative analytic of lobh	analytic form-of indicative present
lobhfaidh		1. (verb) analytic future of lobh	analytic form-of future
loc		1. (noun) hindrance<br />2. (verb) Ulster form of loic (“to shirk, flinch”)	alt-of masculine obsolete ulster
loca		1. (noun) enclosure, pen, corral, fold<br />2. (noun) park, parking-place<br />3. (noun) lock (of hair, wool)<br />4. (noun) side whiskers<br />5. (noun) tuft, handful; small quantity	in-plural masculine
loca pionóis		1. (noun) penalty box, sin bin	masculine topic-sports
locadh		1. (noun) Ulster form of loiceadh<br />2. (verb) inflection of loc:<br />3. (verb) autonomous past indicative<br />4. (verb) analytic past habitual<br />5. (verb) analytic past subjunctive<br />6. (verb) third-person singular imperative	alt-of analytic autonomous form-of habitual imperative indicative masculine past singular subjunctive third-person ulster
loch		1. (noun) lake	masculine topic-lakes
loch salainn		1. (noun) salt lake	masculine topic-lakes topic-landforms topic-water
locha		1. (noun) genitive singular of loch	form-of genitive singular
lochanna		1. (noun) plural of loch	form-of plural
locht		1. (noun) fault, defect, blemish, flaw, imperfection<br />2. (noun) abuse<br />3. (noun) blame<br />EXAMPLE: Chuir sí an locht orm.: She put the blame on me.	masculine
lochta		1. (noun) loft (attic or similar space)<br />2. (noun) the gods (highest platform or upper circle in an auditorium)<br />3. (noun) genitive singular of locht	form-of genitive masculine singular topic-theater
lochta croise		1. (noun) rood-loft	masculine topic-architecture topic-religion
lochta féir		1. (noun) hay-loft	masculine topic-agriculture
lochta orgáin		1. (noun) organ loft	masculine topic-architecture
lochtanna		1. (noun) plural of locht (“fault”)	form-of masculine plural
lochán		1. (noun) pond, pool, small lake	masculine topic-bodies-of-water topic-landforms
lodán		1. (noun) stagnant pool; puddle	masculine
lofa		1. (verb) past participle of lobh<br />2. (adj) rotten	form-of participle past
log		1. (noun) place<br />2. (noun) hollow	feminine literary masculine
logainm		1. (noun) placename, toponym	masculine topic-onomastics
logainmneoir		1. (noun) toponymist	masculine topic-occupations topic-onomastics
logainmníocht		1. (noun) naming of places; toponymy	feminine topic-onomastics
logainmníochta		1. (noun) genitive singular of logainmníocht	feminine form-of genitive singular
logáil		1. (verb) To log; to add to a log of something. (usually with isteach or amach)	
logánta		1. (adj) local	
logántacht		1. (noun) localism	feminine
loic		1. (verb) to shirk, flinch (avoid an unpleasant task or duty), default (fail to meet an obligation)<br />2. (verb) to falter (fail in distinctness or regularity of exercise)<br />3. (verb) to fail (not achieve a stated goal; to cease to operate; to be wanting, fall short)<br />EXAMPLE: Loic mo chroí.: My heart failed me.<br />4. (verb) to misfire (of a firearm, engine, neuron etc.)<br />5. (verb) to stall (of an engine etc.)	
loice		1. (verb) analytic present subjunctive of loic	analytic form-of present subjunctive
loiceadh		1. (noun) verbal noun of loic<br />2. (noun) default (condition of failing to meet an obligation)<br />3. (noun) failure (state or condition opposite of success)<br />4. (noun) misfire (of a firearm, engine, neuron etc.)<br />5. (verb) inflection of loic:<br />6. (verb) autonomous past indicative<br />7. (verb) analytic past habitual<br />8. (verb) analytic past subjunctive<br />9. (verb) third-person singular imperative	analytic autonomous form-of habitual imperative indicative masculine noun-from-verb past singular subjunctive third-person
loiceann		1. (verb) analytic present indicative of loic	analytic form-of indicative present
loicfeadh		1. (verb) analytic conditional of loic	analytic conditional form-of
loicfidh		1. (verb) analytic future of loic	analytic form-of future
loicim		1. (verb) first-person singular present indicative of loic	first-person form-of indicative present singular
loicthe		1. (verb) past participle of loic<br />2. (noun) genitive singular of loiceadh	form-of genitive participle past singular
loighce		1. (noun) genitive singular of loighic	feminine form-of genitive singular
loighceoir		1. (noun) logician	masculine topic-people
loighic		1. (noun) logic	feminine
loim		1. (adj) inflection of lom (“bare”):<br />2. (adj) vocative/genitive singular masculine<br />3. (adj) dative singular feminine	archaic dative feminine form-of singular
loime		1. (adj) inflection of lom:<br />2. (adj) genitive singular feminine<br />3. (adj) comparative degree	comparative feminine form-of genitive singular
loin		1. (noun) genitive singular of lon	form-of genitive masculine singular
loine		1. (noun) churn-dash<br />2. (noun) plunger; piston	feminine
loing		1. (noun) dative singular of long	archaic dative dialectal form-of singular
loinge		1. (noun) genitive singular of long	form-of genitive singular
loingeas		1. (noun) ships<br />2. (noun) shipping (body of ships belonging to one nation, port or industry)<br />3. (noun) fleet (group of vessels)	collective masculine
